Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,23.0,26.793150585248275,26.46203322296226,26.576732029677964,28.093372267806996,26.903416010708758,26.95395398062968,26.00623421765131 
 05/03  00:20:00,23.0,26.723648004113259,26.40415670285885,26.52361053459812,28.020897993040657,26.857384949878417,26.919420732643667,25.62629043884877 
 05/03  00:30:00,23.0,26.5950560119337,26.30060711656069,26.441625205343507,27.892169648062578,26.78138968453039,26.853773250419818,25.31969669863739 
 05/03  00:40:00,22.8,26.50159466212126,26.228544531743663,26.357996717907086,27.786896409605999,26.71279380340135,26.796527216695738,25.539965604085343 
 05/03  00:50:00,22.7,26.48887538134241,26.222944196157625,26.32317487110455,27.732551847460326,26.65142308085738,26.748982397876163,25.113053781651588 
 05/03  01:00:00,22.6,26.420030416543356,26.17572141593785,26.226955183071966,27.61246120938317,26.572391030834866,26.680821050351928,25.562931055993674 
 05/03  01:10:00,22.5,26.360538147407508,26.134628633903284,26.1988554974524,27.514896044531868,26.501462087780959,26.62314303994803,25.06801715489453 
 05/03  01:20:00,22.4,26.30890525161279,26.099651495241763,26.181650703425967,27.41939613373457,26.428160967702099,26.56334651473201,25.214178150181526 
 05/03  01:30:00,22.3,26.259748225660038,26.067082956324698,26.161891890553585,27.316950079214604,26.349708191374324,26.49871859698962,25.06795114134312 
 05/03  01:40:00,22.4,26.215458899272084,26.039764129443804,26.130117829743186,27.213238434298949,26.275152916769238,26.43758614790895,24.999479212918979 
 05/03  01:50:00,22.5,26.17608205879639,26.017400409162425,26.07176674176978,27.111103606163736,26.201642067401303,26.377845568907224,25.259018056032457 
 05/03  02:00:00,22.3,26.13171401529308,25.989696348992046,26.010253710859243,27.009706808308065,26.12452334947615,26.31481202280707,25.04259655086996 
 05/03  02:10:00,22.1,26.101047836899356,25.96740542072446,26.003641791248137,26.941921900480098,26.05464441015025,26.259632064335198,24.665104550707956 
 05/03  02:20:00,22.0,26.04734849824065,25.928496801378338,25.94191473481023,26.835091092124473,25.975525564214668,26.194373857512617,24.71870758312972 
 05/03  02:30:00,22.0,25.9863926012443,25.885874349666314,25.89232459706757,26.71059387943543,25.893371926905439,26.126870375803248,24.45382612870371 
 05/03  02:40:00,21.9,25.93135086498961,25.848067502430788,25.823737722934767,26.598597754086723,25.817497828796584,26.065157091128083,24.31869869872517 
 05/03  02:50:00,21.9,25.904403626290767,25.82861014195214,25.752504925152498,26.52587602665372,25.745193175488536,26.006425650917753,25.024890681384528 
 05/03  03:00:00,21.7,25.873101011935839,25.80344564594695,25.706979606371847,26.449255727566969,25.67603387459052,25.950081776643477,24.602627973513394 
 05/03  03:10:00,21.7,25.803187026594068,25.750193345706614,25.55702458796552,26.307638825998283,25.588226609886477,25.874151843180657,25.304041242746164 
 05/03  03:20:00,21.8,25.74598601829005,25.709270504428845,25.448391606849197,26.190492128865434,25.513255735601338,25.81221094597512,25.160686021632384 
 05/03  03:30:00,21.5,25.720737227628555,25.68964470126444,25.424821713022653,26.133561822963779,25.44105860556018,25.751342900528344,24.923640061051694 
 05/03  03:40:00,21.4,25.67097368530318,25.651627314983693,25.367415781232926,26.03305935399327,25.36301048462171,25.68332082437835,24.893120114959399 
 05/03  03:50:00,21.1,25.62133635124705,25.612980336292439,25.302381612764415,25.943598563436763,25.28480193469754,25.61456031222682,24.497558818706524 
 05/03  04:00:00,21.2,25.537409129421527,25.550142891826618,25.193717571620569,25.800359388184579,25.20590060651057,25.54479984285397,24.902285873339669 
 05/03  04:10:00,21.0,25.467473537261527,25.49786317448977,25.09905755890895,25.68696230069368,25.126649830909554,25.475059691555978,24.85214300894369 
 05/03  04:20:00,20.8,25.437803907000366,25.475987499826098,25.12997661664457,25.619587054568766,25.051510048425773,25.409888587903628,23.872010565463783 
 05/03  04:30:00,20.9,25.397795005748998,25.448205916693956,25.138847133222119,25.523648197768414,24.9774726813155,25.34456479024013,24.105068911426927 
 05/03  04:40:00,20.8,25.340266458799176,25.40724056483348,25.08452210376452,25.404888348591645,24.89424832733798,25.270128571030648,24.21083161825831 
 05/03  04:50:00,21.1,25.322944251276366,25.399232006920174,25.101747141271696,25.33479988595195,24.8303734066004,25.215872195221395,23.806111745695099 
