Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,23.0,26.334446501404189,26.18854411243815,25.9211942727164,26.64456704821088,26.720872430081348,26.852557122732457,25.939035084980998,-2.7168707463163956,96.93944863135218,-1.8938783295484297,71.75386531274693,-1.7932820053346095,66.67253664947197 
 05/03  00:20:00,23.0,26.27199819141603,26.132094697704696,25.876972352326854,26.594996860344318,26.67454166726746,26.817080917396333,25.531765835176168,-2.7428455386885695,97.23560602678345,-1.9240735688199349,73.21983599615011,-1.8287607070691417,68.4960209535057 
 05/03  00:30:00,23.0,26.157453706790748,26.028595299576307,25.86633419578214,26.503749094317905,26.597490700888469,26.74856090761613,25.231051291977086,-2.750456061088201,97.31800403286519,-1.9703848890139922,75.4061773519874,-1.8844058272224496,71.28783892586687 
 05/03  00:40:00,22.8,26.072765221342615,25.95138555156811,25.767719796674574,26.427860125221096,26.528246146563956,26.689688765838637,25.448618500782549,-2.7932291053296267,97.74598258661487,-2.0109608815892958,77.25467596226807,-1.9287806212344672,73.44557634556304 
 05/03  00:50:00,22.7,26.064005814605588,25.945910115848827,25.68753491819667,26.390209918238634,26.467017637259329,26.642443236101465,25.025137424222885,-2.8316138204127569,98.082275434465,-2.0206325346661409,77.68547086506112,-1.942694268165026,74.10828032473106 
 05/03  01:00:00,22.6,26.00559230550058,25.8984350021746,25.520520204996826,26.30272815197527,26.38715110947484,26.572340175699837,25.472675818137384,-2.895514135777953,98.55207843386634,-2.047947597826574,78.88087156884981,-1.977451375528552,75.732762975404 
 05/03  01:10:00,22.5,25.954317593877549,25.85853668501791,25.54627564329837,26.229744318839779,26.3159778549977,26.51390645715923,24.97967414262392,-2.897103502872822,98.56244474544883,-2.071901075389433,79.9025362069216,-2.0091400193692987,77.1731393585244 
 05/03  01:20:00,22.4,25.909869901338128,25.825241936069685,25.585928247820794,26.15792213656131,26.24230594637744,26.453358211740324,25.123817561106884,-2.8939296869091919,98.54168376277875,-2.0928429878124579,80.77471827429928,-2.0377873507497039,78.43994285149023 
 05/03  01:30:00,22.3,25.868720215048258,25.795107066213434,25.611630152889658,26.080394509019859,26.16343498620325,26.387749355364194,24.979521178335867,-2.8935948195311904,98.53947913989382,-2.112508693588739,81.57543068226325,-2.065154724122609,79.61735790005221 
 05/03  01:40:00,22.4,25.834374036854159,25.77092555838454,25.596660025612406,26.000753059771229,26.088580491675424,26.32576082932539,24.90998742754645,-2.9067048402815898,98.62379029694515,-2.1279952123121839,82.19324833165099,-2.088083072376159,80.57822984236391 
 05/03  01:50:00,22.5,25.80726138564645,25.75245795384049,25.497014338524257,25.92122877348686,26.015059266357818,26.26538000753189,25.168753998247874,-2.948209278579775,98.86490163764111,-2.1409896498129474,82.70285748703475,-2.1079255939697014,81.39043060354106 
 05/03  02:00:00,22.3,25.774249372573477,25.728361859165046,25.401668985547376,25.841557145052684,25.938202433508374,26.201575713025379,24.954532942939556,-2.9925586747511279,99.08294667361501,-2.1594777305088428,83.41390396704887,-2.1333293971827187,82.4034180895796 
 05/03  02:10:00,22.1,25.747465076101955,25.707413124935337,25.456306917193659,25.789321048368764,25.868838279703824,26.14523085009153,24.57751100767505,-2.9878094324061088,99.06140473405452,-2.177062080282091,84.07473346418817,-2.156574113297591,83.30332906623259 
 05/03  02:20:00,22.0,25.70017377467446,25.671000844000117,25.366564175881697,25.70490141079636,25.789995469607726,26.07845684521722,24.630213157362513,-3.027134471862916,99.22770661314861,-2.200505557335867,84.93199653957456,-2.1877047830726288,84.46729169048672 
 05/03  02:30:00,22.0,25.646266403916618,25.631016100493296,25.3503036960776,25.604803301266164,25.708207889613566,26.010528842345957,24.368523938917428,-3.0431455310823316,99.28795238584121,-2.223544197179059,85.74768734438078,-2.219703663220353,85.61356772767116 
 05/03  02:40:00,21.9,25.596308252458397,25.594937219618214,25.254017471465166,25.51368318520043,25.632770173128177,25.94910878461118,24.233285315005504,-3.086991300698723,99.4330700376828,-2.245942160211052,86.51499001898316,-2.2510984492327545,86.68802207390002 
 05/03  02:50:00,21.9,25.571061054229515,25.577023557933889,25.078602523192975,25.456023470006053,25.561500806894434,25.891722781808317,24.94203533894238,-3.154645209033155,99.60755672027843,-2.26094679959371,87.0147391347713,-2.272269254486376,87.38423354289295 
 05/03  03:00:00,21.7,25.539575652222106,25.553574330286386,25.007880772065297,25.3947718852371,25.493099662254339,25.83592301660099,24.51629623570365,-3.193036902257022,99.68434093370002,-2.279681141692223,87.62255640893915,-2.297509527268303,88.18427325028056 
 05/03  03:10:00,21.7,25.47225974222075,25.503463876954976,24.71569915374795,25.278641060532317,25.40544462093498,25.759758996204306,25.3143640729379,-3.3022579473142215,99.83627871276228,-2.308111907861889,88.51058386657393,-2.3360460449699218,89.34268080208561 
 05/03  03:20:00,21.8,25.418127514545384,25.464724265840589,24.548951863710607,25.18146870289193,25.330856703994589,25.698132355021966,25.127629991233545,-3.37000292978805,99.8941235875665,-2.3275908308200785,89.09504444933487,-2.364932794280284,90.16110336477867 
 05/03  03:30:00,21.5,25.39413104276865,25.446564501759707,24.52945557979458,25.136235963316666,25.258689462915507,25.638071445573674,24.828735512235555,-3.3926631672111875,99.9089522837663,-2.3478777601963167,89.683057837359,-2.3908845154375948,90.86010704982225 
 05/03  03:40:00,21.4,25.3471171955209,25.410708644831776,24.455816707801593,25.05450677421077,25.18034381366093,25.570216212450008,24.827589012235323,-3.4316269070985325,99.930186113345,-2.3691104012910726,90.2759373488647,-2.4217498159938386,91.64718141823176 
 05/03  03:50:00,21.1,25.30017355499325,25.37390177090387,24.356766279435793,24.981469722177228,25.1018778200808,25.501889262976655,24.41193714813526,-3.481068582021263,99.95071880356801,-2.395503181420832,90.98093288194372,-2.4531949925752256,92.40022693090308 
 05/03  04:00:00,21.2,25.221617320335896,25.313123521645985,24.215618712375539,24.8617857796123,25.023098492095707,25.43209346598028,24.87541840994524,-3.5451080552143088,99.96921375546592,-2.427489547427174,91.78828843144702,-2.495710386046681,93.34164735419813 
 05/03  04:10:00,21.0,25.15633834972598,25.26210055707512,24.089761312036019,24.766558673388837,24.945385055770715,25.362829679202794,24.838408500870086,-3.6053575688053289,99.9806269258548,-2.4587542414489564,92.52829785647062,-2.534144517093371,94.11887322386078 
 05/03  04:20:00,20.8,25.128023317482037,25.241071850089907,24.216179925720554,24.712157736417657,24.872987492966279,25.298152645280994,23.830229304746646,-3.576554911776404,99.9757639974022,-2.4760817759820266,92.91783678823535,-2.559435693834599,94.5932737819234 
 05/03  04:30:00,20.9,25.090790504417837,25.21493784742957,24.27399090965807,24.633255098671133,24.800607387701839,25.23329039969201,24.00059392146648,-3.565725972216798,99.97366660263093,-2.491254879441796,93.24705998409572,-2.5825365859376228,95.00165507672318 
 05/03  04:40:00,20.8,25.037712053548029,25.17642249091977,24.186801517844854,24.53408418517943,24.71864016780744,25.159209282392525,24.135186032039507,-3.6037560604736584,99.98038176536203,-2.5165858166798329,93.7723378690736,-2.617100659502572,95.56963704394156 
 05/03  04:50:00,21.1,25.022511257242316,25.169941107327675,24.268209731733188,24.476251343097549,24.656470976352759,25.105544877253295,23.719485528681245,-3.5848029501760827,99.97725869523133,-2.5216822864881065,93.87438910107722,-2.628878678075227,95.7517349947453 
 05/03  05:00:00,20.8,24.980632421795506,25.14250308746805,24.338986328906516,24.386700022031559,24.57748024665917,25.03434670016601,23.51026439666255,-3.5735518698204995,99.97519806695871,-2.5433466913386906,94.29483296002282,-2.659821008891874,96.20337267286304 
 05/03  05:10:00,20.8,24.92272143910262,25.101496558086525,24.32554399803489,24.280676762370257,24.494791558164477,24.959972415291543,23.73616772068104,-3.585676587904205,99.97741201725289,-2.5684745326945239,94.7558628512086,-2.695269629539211,96.67496489940558 
 05/03  05:20:00,20.1,24.86718287626946,25.052499569673637,24.02753134938783,24.22503393357157,24.417087391342734,24.888601001829377,23.615211015402328,-3.7034851257246959,99.9912837673397,-2.6064633391511746,95.40022730227557,-2.738517225538936,97.18787147384873 
 05/03  05:30:00,20.1,24.79433400125658,24.989572534336927,23.75193614329374,24.137238685667446,24.34178221083495,24.821098115066098,23.86587851082036,-3.8076340570932296,99.99649325484278,-2.642943815910964,95.96177670336548,-2.779645732772541,97.61637382642367 
 05/03  05:40:00,19.5,24.733109468141568,24.937840754323177,23.65471459037224,24.061481867074265,24.25622206894194,24.743732601524813,23.228188482147048,-3.859505017021726,99.99782709788193,-2.680082094275663,96.4787488849818,-2.8231059163594596,98.01143549129462 
 05/03  05:50:00,19.6,24.68378128922261,24.89801624667806,23.910296175869193,23.98362070942909,24.18942948807036,24.684548623008184,22.321446957004924,-3.786345951739706,99.99575300387778,-2.7023994562522617,96.7641330428256,-2.85348105148239,98.25511557379184 
 05/03  06:00:00,19.5,24.641490165092315,24.865638877943355,23.791607732193375,23.91086327652829,24.113984472454633,24.61735695904193,22.86981677550143,-3.8320952669557899,99.99719583077966,-2.723817841979962,97.02095769886242,-2.881856780135203,98.46047251563965 
 05/03  06:10:00,19.6,24.581164150626646,24.820371673636087,23.667874193219338,23.80355695877767,24.032645539143894,24.544080697154297,23.164603813048193,-3.8835851949114534,99.99827017975461,-2.7489545636355428,97.30190139604096,-2.913880986119563,98.66823229121724 
 05/03  06:20:00,19.9,24.554835875170974,24.804685133841717,23.959688658421368,23.72857034838201,23.95768428204224,24.477633822173237,22.36626699604797,-3.79702961760769,99.9961408497263,-2.7592487203925768,97.41079767042459,-2.9312278154560569,98.77083357074653 
 05/03  06:30:00,19.6,24.51016425358724,24.775552656324355,24.155973410119363,23.631420466051048,23.880946605051848,24.409057227503714,22.622257604789384,-3.739182506024394,99.99357268564003,-2.7798588002349766,97.6184512430731,-2.9612397600260116,98.93299254885307 
 05/03  06:40:00,19.4,24.470895784392107,24.74628729839896,24.04243218943124,23.56078990354072,23.802521288578249,24.338286848323194,22.1254987200447,-3.787660263380331,99.99580258378043,-2.799919686377269,97.80773824997518,-2.9878536725637718,99.0616073245553 
 05/03  06:50:00,19.5,24.428129990259277,24.716824625727126,23.800203287788379,23.4606779145252,23.730028040761569,24.273842513137976,22.10053082120589,-3.8756017013126216,99.99813354810779,-2.8117842006281155,97.91394484330178,-3.009434451604028,99.15619429512991 
 05/03  07:00:00,19.8,24.41783760963365,24.716609101933643,23.720892329500495,23.382248384371917,23.65982432943661,24.212947607756424,22.908440263405504,-3.906947277264531,99.99861850286509,-2.8109197374458327,97.9063474687821,-3.0150633285079655,99.17951240533971 
 05/03  07:10:00,20.1,24.416458677439946,24.722591183915687,23.55579571086971,23.315179887732446,23.602036676818693,24.162826405423869,23.32665811578961,-3.9635555419226407,99.99921071602154,-2.8078294429816199,97.87900814144382,-3.016512823339487,99.18542910003078 
 05/03  07:20:00,20.1,24.406517050423035,24.72882265076033,23.435461959971798,23.18690029337643,23.52928687947609,24.099285223352426,23.208831914260118,-4.00786180345718,99.99949834789199,-2.8071911520827816,97.87332609069391,-3.021657078732445,99.20614033859639 
 05/03  07:30:00,20.7,24.42834308571085,24.758532054338379,23.68988566285677,23.13437171605916,23.481312834967004,24.06079167454017,22.608721971002958,-3.9203507467438545,99.99878766622963,-2.787596352877889,97.69293044886011,-3.0067986631540184,99.14508664979148 
 05/03  07:40:00,21.2,24.45478397646658,24.79704048128111,23.96556359412319,23.075098014513367,23.434240315262949,24.02139670385327,23.056469171366126,-3.824614617174372,99.9969961853907,-2.7654406542434697,97.47462102724205,-2.9913667989205496,99.07757951277979 
 05/03  07:50:00,22.0,24.505373467501927,24.877765033988909,24.309087360472029,22.96363582855746,23.382726958434128,23.976882610076929,23.279588938990935,-3.7012573944573714,99.99111872676451,-2.7271557627147549,97.05951781970954,-2.9671308289276259,98.96264949126618 
 05/03  08:00:00,22.9,24.556314107736097,24.96334141248454,24.46256368893788,22.88284256387527,23.34530973286151,23.945130683050047,23.517538001968189,-3.6408383863528388,99.9853925142455,-2.6859716458658835,96.55586237654151,-2.9412583877803826,98.82714054838829 
 05/03  08:10:00,24.3,24.61982081195558,25.057286234855,24.56025008731583,22.834451285922456,23.320653436302526,23.926249783132989,23.762540049943646,-3.5879587998034996,99.977808130571,-2.6352704403298956,95.84817859977462,-2.90497293814953,98.61288537649611 
 05/03  08:20:00,24.3,24.661282028374079,25.120372653325537,24.617944452990178,22.802312706832369,23.293811522682924,23.90282611659506,23.682440652386807,-3.5653077242901367,99.97358239644544,-2.6115129233309526,95.4812369753661,-2.8904732959891925,98.51879774509135 
 05/03  08:30:00,24.4,24.67768436148616,25.15020888144918,24.65237931278813,22.77919618226413,23.27616444897448,23.886408693762939,23.671490788006968,-3.5467369022077799,99.96958880348096,-2.600647433807756,95.30559245336878,-2.8833098533500864,98.47043681910977 
 05/03  08:40:00,24.7,24.688101292919958,25.16955881789189,24.69194240357708,22.767646772795698,23.271963181151557,23.882185888651259,23.824238896157018,-3.525902369896289,99.96446578804118,-2.5883900896721765,95.10143088275473,-2.8753316410862275,98.41507638996788 
 05/03  08:50:00,25.1,24.71160940742621,25.198943749599235,24.75002789681531,22.771595175161595,23.280890983976034,23.8890293656614,23.963384096076167,-3.4957910304046049,99.95568437868318,-2.5687219795895137,94.76026301251332,-2.857960168838159,98.28892222117936 
 05/03  09:00:00,25.4,24.747648308121,25.237386938314005,24.83878482268095,22.79223767046334,23.298601982363587,23.902598748607237,23.877316486602895,-3.451404195153946,99.93917207582048,-2.5468818843308256,94.36140810983606,-2.8364030930472117,98.12125563560963 
