Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,23.0,26.79231077440164,26.456661752808988,26.19985007418901,28.09339035994895,26.90298061281505,26.951191749889529,26.00021562182887,-2.5340645786929656,94.11732774462695,-1.7039124902011549,61.96103387535687,-1.4837695980077759,50.01929308673329 
 05/03  00:20:00,23.0,26.722837562775216,26.39864270147735,26.169790387917418,28.0209158044078,26.856950345030289,26.916658658960626,25.617600444153106,-2.558177397112039,94.57035177894706,-1.7355252465533449,63.644227359940028,-1.5241625430305384,52.214149656135088 
 05/03  00:30:00,23.0,26.594235832733177,26.294789540836736,26.174208911257766,27.892186992517556,26.78095213583441,26.85096889891212,25.311478501912587,-2.5621341618265918,94.64219306750961,-1.784997429678601,66.24242398497671,-1.5879513615235786,55.68935591258441 
 05/03  00:40:00,22.8,26.500736681569966,26.222474961316203,26.073652223435646,27.786913385531859,26.712354330181069,26.793702329610004,25.531321683353498,-2.6052687445659274,95.3809057927935,-1.8221592350752494,68.15910746526161,-1.6398194201820607,58.508248938650158 
 05/03  00:50:00,22.7,26.48801145965776,26.216884865080226,25.981128431805634,27.73256862142115,26.650982962841398,26.746167338772027,25.104619129583044,-2.649821920700098,96.06159705994358,-1.832681567516436,68.69558610503973,-1.6574582300864327,59.462785026491399 
 05/03  01:00:00,22.6,26.419146773137059,26.16957036558976,25.802308679435137,27.61247757927065,26.571948790040609,26.677979332203344,25.55413404699716,-2.720354001082036,96.98052989282243,-1.8608879778139802,70.11883820942772,-1.6985188947435719,61.672353958490109 
 05/03  01:10:00,22.5,26.359641922177909,26.128401422601216,25.83680317025173,27.514912107981475,26.501018148006247,26.620291958450804,25.05926964315507,-2.7203736692139688,96.98076063952552,-1.8861292153473964,71.37283684910071,-1.735324851884102,63.63360873978266 
 05/03  01:20:00,22.4,26.307999246590783,26.093349044146163,25.879587314817266,27.419411903673333,26.427714836951468,26.560484188422647,25.20501811548986,-2.715921499590405,96.92817870816347,-1.908522593095029,72.46863821967172,-1.7686010445610017,65.38674065217694 
 05/03  01:30:00,22.3,26.258834268714688,26.060705335482337,25.903537549522548,27.31696554145134,26.34926046484138,26.495839324440973,25.05881549836115,-2.716936740450029,96.94023095618292,-1.9299419678683796,73.50115316318352,-1.7988517032220036,66.96081864804472 
 05/03  01:40:00,22.4,26.214539288786676,26.03331852142903,25.88169970684128,27.213253598633516,26.27470327514552,26.434691424478307,24.990063963592325,-2.7333956520590378,97.13056243174094,-1.9475847633103454,74.33956436142151,-1.8277028009845602,68.44210589286783 
 05/03  01:50:00,22.5,26.17515962020116,26.01089955400022,25.768430946149658,27.111118489785388,26.20119373213429,26.37493585068173,25.249323155182176,-2.7838311704542768,97.65692127936687,-1.9631090058977403,75.0679202315144,-1.8544887552718193,69.79790835646158 
 05/03  02:00:00,22.3,26.130789385325448,25.983134975321567,25.664689331352386,27.009721421928796,26.124074928490797,26.311875939826885,25.033003995206088,-2.8309730648205679,98.07701156776915,-1.9838856990990779,76.02845043718514,-1.8863092890341009,71.38171274913262 
 05/03  02:10:00,22.1,26.100123177620256,25.960840706977856,25.72067301566855,26.941936325454834,26.05419605303352,26.256658053140677,24.655465290718113,-2.826003609602769,98.03579356143533,-2.0027922110481515,76.88783063738669,-1.912838226551182,72.67792849155916 
 05/03  02:20:00,22.0,26.046420644856096,25.92189568524449,25.623949850741668,26.83510524040491,25.975076817917079,26.191203722718919,24.70880126926108,-2.8717559821243388,98.38974435461572,-2.0281970749018898,78.01969350409476,-1.9484984979450598,74.38268072860844 
 05/03  02:30:00,22.0,25.985457519966045,25.879192362619958,25.601529032934424,26.710607721947093,25.892922097341953,26.123874619263327,24.44413403488875,-2.890826412139653,98.52114915378179,-2.0531059978662418,79.10302085823358,-1.9850359405946699,76.08113897634513 
 05/03  02:40:00,21.9,25.93040563088012,25.84128076726511,25.495911340940834,26.59861133271967,25.817047127602714,26.062250159042809,24.308856121656278,-2.937138004120929,98.80427283926737,-2.076990235702975,80.1163141179269,-2.020102928321661,77.66198160710307 
 05/03  02:50:00,21.9,25.90345710456459,25.82175155322783,25.312228684034375,26.525889421019579,25.744742463637484,26.003493525550995,25.015125431849847,-3.0091622834578226,99.15505293952232,-2.0936085836981968,80.80622497336785,-2.0438232368045097,78.70242190382302 
 05/03  03:00:00,21.7,25.872141294887599,25.79661256369311,25.240511248886148,26.44926893300663,25.675582703609,25.947163840693415,24.592355338082059,-3.0491905737992877,99.30964702995242,-2.113782430952414,81.62667142134353,-2.070567575484688,79.84632835153161 
 05/03  03:10:00,21.7,25.802225155107416,25.743322135149375,24.934309154668968,26.30765171074529,25.587773804906278,25.871225778737377,25.301302485134508,-3.1642689462994046,99.62817119095699,-2.1444694649414628,82.83795284626456,-2.111994978003261,81.55474307902094 
 05/03  03:20:00,21.8,25.745033610518698,25.702319672996546,24.75951362372851,26.190504759133867,25.512800985667867,25.809287495658368,25.15408026686198,-3.2360093203162094,99.75456934506534,-2.1675993072055625,83.72100221373482,-2.1457210228304577,82.88639889078496 
 05/03  03:30:00,21.5,25.719795037749159,25.682677517309508,24.739619507200808,26.133574310981659,25.440596987035513,25.748432741444597,24.912706783613929,-3.259941832807362,99.7874545958024,-2.1873003598235138,84.45247705023339,-2.171567981770065,83.86989287168669 
 05/03  03:40:00,21.4,25.670040802910689,25.644609511956785,24.66254402467105,26.033071609493729,25.362544494853819,25.680408871315039,24.88363683116735,-3.301120629518402,99.8351077680524,-2.2121885689885736,85.34897301119749,-2.205043857247505,85.09478517165837 
 05/03  03:50:00,21.1,25.620407382299239,25.605911369248369,24.560127937605306,25.94361061454429,25.28434578929661,25.611652288590045,24.486256695808828,-3.3547986790522925,99.88301204346536,-2.2400178638894876,86.31451451208797,-2.2410875214676579,86.35084330062492 
 05/03  04:00:00,21.2,25.536478366145688,25.542905476891506,24.41269198501179,25.800371138784894,25.20544421700056,25.541883752748203,24.897801942557974,-3.42000374128103,99.92436921608203,-2.2709081691062686,87.34016313910382,-2.286442777786406,87.83751435016954 
 05/03  04:10:00,21.0,25.466536119059854,25.490436231778334,24.281350581641985,25.6869738180073,25.126194889063564,25.47214673947201,24.848835618046694,-3.483174260779834,99.95145829447243,-2.3035353990228137,88.37044027543478,-2.3275251600408635,89.09310673279144 
 05/03  04:20:00,20.8,25.43686625423707,25.468469982497575,24.415657353403096,25.619598412633317,25.05105736836159,25.40697902396082,23.869368138969486,-3.454741484980788,99.94058196992435,-2.321767346847007,88.9223533648856,-2.3548311654234799,89.87975263088232 
 05/03  04:30:00,20.9,25.39685763961524,25.440547267744049,24.473655149044978,25.523659344092875,24.977021530541433,25.34165528200314,24.087897580152267,-3.4424783368605529,99.93525312884246,-2.340415483183169,89.46921659035836,-2.379929553808626,90.569206995642 
 05/03  04:40:00,20.8,25.33932888335893,25.39939041296268,24.37902032612529,25.404899247843699,24.893798106821046,25.267215511658049,24.197956702331014,-3.4860325914901488,99.952446179581,-2.3669502759996208,90.21667085203102,-2.416785505088369,91.52381326583002 
 05/03  04:50:00,21.1,25.32200827345322,25.391281052902259,24.462118341676339,25.334810633081358,24.82992505130789,25.21296185155058,23.791934186238497,-3.4653073110382994,99.94485499968249,-2.373325046699333,90.39088918793672,-2.4306038611314806,91.86416597860145 
 05/03  05:00:00,20.8,25.27645817347041,25.36110856336435,24.53344773986207,25.227767564006326,24.749680233293124,25.14147436988343,23.58097609502106,-3.454647902116366,99.94054283594923,-2.3969469631690427,91.01848180820763,-2.464193774201762,92.65215201060193 
 05/03  05:10:00,20.8,25.213796700333075,25.317057701500788,24.51563904435461,25.102306206690483,24.665755323000054,25.066833300268916,23.8040439510442,-3.4690188448920069,99.9462894040841,-2.4230363658120614,91.67895291208214,-2.5014804647839066,93.46274360066204 
 05/03  05:20:00,20.1,25.15500517841021,25.26621583313743,24.208527851297278,25.035371899229,24.586541745344868,24.994937457503384,23.67844190581809,-3.590887387448582,99.97830720282694,-2.4628462344560799,92.62160368305897,-2.547790633030499,94.37843043522533 
 05/03  05:30:00,20.1,25.077471909434057,25.201502658465154,23.926395848207244,24.931224519203686,24.510083479824769,24.927178973751106,23.921608700486073,-3.6982887961480879,99.9908943501283,-2.497594306570022,93.38135830014872,-2.5910993108795505,95.14711034658017 
 05/03  05:40:00,19.5,25.012821671753778,25.148165476978023,23.828807849452589,24.840942536089533,24.423143865878207,24.84940532997875,23.293127829001084,-3.751193567215339,99.99420886539781,-2.5360453172949359,94.15553597423888,-2.637516216931038,95.88167107533832 
 05/03  05:50:00,19.6,24.960033952300493,25.10694144101797,24.09192796350563,24.74906403876218,24.354970189463438,24.78976154903791,22.38438291337725,-3.6784555986832609,99.98925706974521,-2.561833073627153,94.63675083737847,-2.6714716063794095,96.3636460842044 
 05/03  06:00:00,19.5,24.91478463260105,25.07314949078674,23.96898983307282,24.663267364359709,24.278092099573948,24.722073192529594,22.934101200490639,-3.7240100958917705,99.99267737200832,-2.5848165962591578,95.0406951996272,-2.702589665584504,96.76648641613792 
 05/03  06:10:00,19.6,24.849896303229774,25.025828265318919,23.840373056394556,24.538408024835147,24.195568849191134,24.648496950673715,23.226379855839548,-3.7780071183087426,99.99542564239417,-2.612730665289391,95.50061309089598,-2.7393097068987246,97.19665895761674 
 05/03  06:20:00,19.9,24.82045301535995,25.008240452507644,24.13878690888356,24.450462913080189,24.11901903834888,24.58143629061993,22.429046836575453,-3.689998361200556,99.99023995793545,-2.624637642730111,95.6868229041049,-2.759118277869428,97.40943967012024 
 05/03  06:30:00,19.6,24.772146429069175,24.97696558330974,24.3395205577716,24.33844783742052,24.04121338084449,24.512554945913828,22.68622043375854,-3.6310548471234576,99.98419842709451,-2.646785691545876,96.0177652549705,-2.7916453321804157,97.73116434724602 
 05/03  06:40:00,19.4,24.730484015564849,24.946329707671589,24.216700200288096,24.256230432494406,23.96134472368538,24.441263730719848,22.18554469769784,-3.6831026701915698,99.98966317476037,-2.665773365848726,96.2859132703869,-2.820175136653244,97.98655466549939 
 05/03  06:50:00,19.5,24.684918044532389,24.915796101479854,23.958503944876413,24.14138992328412,23.88762292782251,24.376415739364167,22.16086781873187,-3.776831147432221,99.99537764984422,-2.6803098247001504,96.48175491094998,-2.843943527433498,98.1813389330988 
 05/03  07:00:00,19.8,24.673135493788707,24.91498771306704,23.87874530124836,24.050927495131015,23.81588441894014,24.314871614800269,22.970326631934886,-3.8088536555671737,99.9965318194453,-2.6798031980243608,96.47506480283485,-2.8507361946070137,98.23413422479753 
 05/03  07:10:00,20.1,24.670695267802559,24.920227847430277,23.707277357354227,23.974444618889316,23.7565714531125,24.264037639900005,23.50101892882361,-3.867921083884644,99.99799270688077,-2.677012576018832,96.4380398592332,-2.8530060207018508,98.25149892181132 
 05/03  07:20:00,20.1,24.659493670632594,24.92552118130976,23.585750171691829,23.831085963892109,23.68257360206755,24.20001599903182,23.287660414078866,-3.912772763726354,99.99869455702475,-2.6742644443969776,96.40128953138945,-2.858697902093191,98.29443938736375 
